Department;Region
Ain;Rhone-Alpes
Aisne;Picardie
Allier;Auvergne
Alpes-de-Haute-Provence;Provence-Alpes-Cotes-D'Azur
Alpes-Maritimes;Provence-Alpes-Cotes-D'Azur
Ardeche;Rhone-Alpes
Ardennes;Champagne-Ardenne
Ariege;Midi-Pyrenees
Aube;Champagne-Ardenne
Aude;Languedoc-Roussillon
Aveyron;Midi-Pyrenees
Bas-Rhin;Alsace
Bouches-du-Rhone;Provence-Alpes-Cotes-D'Azur
Calvados;Basse-Normandie
Cantal;Auvergne
Charente;Poitou-Charentes
Charente-Maritime;Poitou-Charentes
Cher;Centre
Correze;Limousin
Corse du Sud;Corse
Cote-Dor;Bourgogne
Cotes-Darmor;Bretagne
Creuse;Limousin
Deux-Sevres;Poitou-Charentes
Dordogne;Aquitaine
Doubs;Franche-Comte
Drome;Rhone-Alpes
Essonne;Ile-de-France
Eure;Haute-Normandie
Eure-et-Loir;Centre
Finistere;Bretagne
Gard;Languedoc-Roussillon
Gers;Midi-Pyrenees
Gironde;Aquitaine
Haute-Corse;Corse
Haute-Garonne;Midi-Pyrenees
Haute-Loire;Auvergne
Haute-Marne;Champagne-Ardenne
Hautes-Alpes;Provence-Alpes-Cotes-D'Azur
Haute-Saone;Franche-Comte
Haute-Savoie;Rhone-Alpes
Hautes-Pyrenees;Midi-Pyrenees
Haute-Vienne;Limousin
Haut-Rhin;Alsace
Hauts-de-Seine;Ile-de-France
Herault;Languedoc-Roussillon
Ille-et-Vilaine;Bretagne
Indre;Centre
Indre-et-Loire;Centre
Isere;Rhone-Alpes
Jura;Franche-Comte
Landes;Aquitaine
Loire;Rhone-Alpes
Loire-Atlantique;Pays-de-la-Loire
Loiret;Centre
Loir-et-Cher;Centre
Lot;Midi-Pyrenees
Lot-et-Garonne;Aquitaine
Lozere;Languedoc-Roussillon
Maine-et-Loire;Pays-de-la-Loire
Manche;Basse-Normandie
Marne;Champagne-Ardenne
Mayenne;Pays-de-la-Loire
Metropole de Lyon;Rhone-Alpes
Meurthe-et-Moselle;Lorraine
Meuse;Lorraine
Morbihan;Bretagne
Moselle;Lorraine
Nievre;Bourgogne
Nord;Nord-Pas-de-Calais
Oise;Picardie
Orne;Basse-Normandie
Paris;Ile-de-France
Pas-de-Calais;Nord-Pas-de-Calais
Puy-de-Dome;Auvergne
Pyrenees-Atlantiques;Aquitaine
Pyrenees-Orientales;Languedoc-Roussillon
Rhone;Rhone-Alpes
Saone-et-Loire;Bourgogne
Sarthe;Pays-de-la-Loire
Savoie;Rhone-Alpes
Seine-et-Marne;Ile-de-France
Seine-Maritime;Haute-Normandie
Seine-Saint-Denis;Ile-de-France
Somme;Picardie
Tarn;Midi-Pyrenees
Tarn-et-Garonne;Midi-Pyrenees
Territoire de Belfort;Franche-Comte
Val-de-Marne;Ile-de-France
Val-Doise;Ile-de-France
Var;Provence-Alpes-Cotes-D'Azur
Vaucluse;Provence-Alpes-Cotes-D'Azur
Vendee;Pays-de-la-Loire
Vienne;Poitou-Charentes
Vosges;Lorraine
Yonne;Bourgogne
Yvelines;Ile-de-France
