level_0;index;SCASEID;NUMTOTV;WEATHER1;WEATHER2;WEATHER3;WEATHER4;WEATHER5;WEATHER6;WEATHER7;WEATHER8;INJSEVA;INJSEVB
0;0;200501269400;2;0;0;0;0;0;0;0;0;1;1
1;1;200501269401;2;0;0;0;0;0;0;0;0;0;0
2;2;200501269402;2;1;0;0;1;0;0;0;0;0;0
3;3;1899075584241;1;0;0;0;0;0;0;0;0;3;0
4;4;2005002229001;2;0;0;0;1;0;0;0;0;1;1
5;5;2005002229021;2;0;0;0;0;0;0;0;0;1;1
6;6;2005002229042;2;0;0;0;0;0;0;0;0;3;1
7;7;2005002229062;1;0;0;0;0;0;0;0;0;3;1
8;8;2005002229082;2;0;0;0;0;0;0;0;0;1;1
9;9;2005002229102;2;0;0;0;0;0;0;0;0;2;1
10;10;2005002229122;1;0;0;0;0;0;0;0;0;0;1
11;11;2005002229143;2;0;0;0;0;0;0;0;0;2;1
12;12;2005002229162;1;0;0;0;0;0;0;0;0;1;1
13;13;2005002229182;1;0;0;0;0;0;0;0;0;2;1
14;14;2005002229202;2;0;0;0;0;0;0;0;0;1;1
15;15;2005002229222;3;0;0;0;0;0;0;0;0;1;1
16;16;2005002229223;1;0;0;0;0;0;0;0;0;1;1
17;17;2005002229242;2;0;0;0;0;0;0;0;0;2;1
18;18;2005002229262;2;0;0;0;0;0;0;0;0;1;1
19;19;2005002229282;2;0;0;0;0;0;0;0;0;3;1
20;20;2005002229303;2;0;0;0;0;0;0;0;0;11;1
21;21;2005002229304;1;0;0;0;1;0;0;0;0;2;1
22;22;2005002229322;2;0;0;0;0;0;0;0;0;1;1
23;23;2005002229342;8;0;0;0;0;0;0;0;0;1;1
24;24;2005002229362;3;0;0;0;0;0;0;0;0;1;1
25;25;2005002229422;1;0;0;0;1;0;0;0;0;0;1
26;26;2005002229442;2;0;0;0;0;0;0;0;0;0;0
27;27;2005002229462;2;0;0;0;1;0;0;0;0;3;1
28;28;2005002229482;2;0;0;0;1;0;0;0;0;1;1
29;29;2005002229483;2;0;0;0;0;0;0;0;0;3;1
